Index,random solution,solve total amount v1,solve total amount v2,solve variance only,solve assignment only,solve custom greedy,solve genetic,ref solution
0,45882.613934625384,90514.84285675321,92703.16398259086,92703.16398259086,12179.360921052014,92703.16398259086,75432.88538272747,0.0
1,66394.81376889149,91543.73869101953,97501.31219855542,97501.31219855542,11584.777846957088,97501.31219855542,73549.20709924084,0.0
2,65566.78889878957,74253.53966189007,97112.49989603399,97112.49989603399,12268.663166230644,97112.49989603399,78444.72393892509,0.0
3,77215.24549775159,90343.42632152,97697.59696836949,97697.59696836949,9459.435872393919,97697.59696836949,94731.89832767814,0.0
4,49997.76780088032,76769.20227375382,101855.94418100522,101855.94418100522,14099.564310171534,101855.94418100522,60031.05752555033,0.0
5,64627.18109834631,90148.9797016319,102312.25739586183,102312.25739586183,15789.432512512014,102312.25739586183,86395.70529881213,0.0
6,54876.072594611964,78564.24253643067,97140.76526392196,97140.76526392196,14070.255637039165,97140.76526392196,96835.63952182863,0.0
7,45695.4803925939,92432.62762336108,103576.78373970425,103576.78373970425,11263.82942415603,103576.78373970425,90902.9656090313,0.0
8,56238.98280571206,95464.66066173758,113183.278877176,113183.278877176,15864.378631465654,113183.278877176,83066.79031730822,0.0
9,51128.5517444299,74438.80627081056,97692.42834253145,97692.42834253145,10733.505339019377,97692.42834253145,84721.04069238435,0.0
10,73063.24126156222,93108.41808688329,98331.83616931668,98331.83616931668,12734.130516566644,98331.83616931668,92510.12596047783,0.0
11,57772.50436301568,88243.86634597012,100016.3790176349,100016.3790176349,16139.381834989697,100016.3790176349,87983.3963694502,0.0
12,72340.12584020062,77079.31132668142,109348.44423445687,109348.44423445687,12919.41597741251,109348.44423445687,88503.82144795681,0.0
13,59867.22206083374,78677.74943976385,93527.62886857767,93527.62886857767,9311.461482077708,93527.62886857767,95450.6284419563,0.0
14,53952.66843384399,79930.73905612018,98347.08455147277,98347.08455147277,11839.26105912068,98347.08455147277,67777.84054807544,0.0
15,59095.0471224665,90869.38250938257,93782.11885565794,93782.11885565794,12109.661419701486,93782.11885565794,87302.05175010419,0.0
16,40995.94456065514,77205.98599042004,100158.03656634843,100158.03656634843,12904.234433736603,100158.03656634843,85362.2048478453,0.0
17,60507.81905785407,84024.73700210646,107882.73446322372,107882.73446322372,12357.978228204038,107882.73446322372,91275.2461861265,0.0
18,43139.86629570031,77834.29021307694,105447.33003273667,105447.33003273667,11944.354442344553,105447.33003273667,72321.02810783578,0.0
19,62149.1733241485,95204.81293994223,103948.4294728479,103948.4294728479,13679.596310829764,103948.4294728479,89429.22343600687,0.0
20,54662.59617499388,92484.35228207715,96382.15816129597,96382.15816129597,12029.60877667759,96382.15816129597,80771.84878370434,0.0
21,50645.19256820454,94301.61808146276,102450.84727137687,102450.84727137687,14028.689239705876,102450.84727137687,80951.75447560291,0.0
22,59690.87075676432,92098.14841608492,104477.52958693431,104477.52958693431,10929.067867312013,104477.52958693431,77145.53081430528,0.0
23,60685.559617808256,93999.72846860338,100167.86573930572,100167.86573930572,13629.314039695502,100167.86573930572,114237.87008046801,0.0
24,45766.568236887215,90784.87366080572,92891.06312051146,92891.06312051146,12734.280500931438,92891.06312051146,95832.10831360341,0.0
25,63000.611484540364,84699.77086182506,99876.42911638359,99876.42911638359,11233.015695976606,99876.42911638359,67634.05656988687,0.0
26,57723.02804593175,88745.41518096792,101162.74723090367,101162.74723090367,12786.74736880954,101162.74723090367,86869.71732826516,0.0
27,72230.74885355015,89473.90071120387,96646.5749661142,96646.5749661142,9329.62733031562,96646.5749661142,83910.45101352097,0.0
28,75329.56579078358,92647.02555185936,103356.72549984587,103356.72549984587,11248.841612745196,103356.72549984587,72579.92455734989,0.0
29,52099.87769498625,76829.04398014846,106577.37974515723,106577.37974515723,15248.450472742448,106577.37974515723,91709.30372776506,0.0
30,75165.60507952223,89653.53403726347,96321.19870897877,96321.19870897877,9104.556849536977,96321.19870897877,75405.0202427984,0.0
31,47372.0047452753,80234.03681747963,104367.48789529121,104367.48789529121,14209.385434957127,104367.48789529121,84945.20403949311,0.0
32,69101.43117242015,89039.4924805186,101668.0856308878,101668.0856308878,15614.309249021086,101668.0856308878,99972.2328426432,0.0
33,58138.99402609162,81564.60454588225,108662.93191817807,108662.93191817807,12553.940639208151,108662.93191817807,84926.69883211644,0.0
34,61353.55516656776,92384.12400919091,102006.54086495914,102006.54086495914,14434.393023243958,102006.54086495914,70464.29043148328,0.0
35,44443.178801559545,96274.30152455995,110988.12937898506,110988.12937898506,15879.67702085534,110988.12937898506,83997.1298303729,0.0
36,70702.71121136422,89978.75761036901,94661.61904998601,94661.61904998601,10219.667532733114,94661.61904998601,71429.9731539373,0.0
37,53664.555831568505,90519.50600314565,102702.25226833158,102702.25226833158,14609.435866032549,102702.25226833158,92232.0460317118,0.0
38,71422.02028381123,93409.56930923295,102492.33448238121,102492.33448238121,14989.34013898086,102492.33448238121,79781.42417297071,0.0
39,64210.23340396301,93344.39385907777,107712.6168271682,107712.6168271682,13229.366247132371,107712.6168271682,67555.19868646504,0.0
40,69709.98156749236,89048.25070518146,96555.78180685345,96555.78180685345,10999.66084072344,96555.78180685345,92354.52517346894,0.0
41,71707.82067589383,91024.34350417802,95483.24011579469,95483.24011579469,10314.570616682833,95483.24011579469,68431.96240621165,0.0
42,76755.85574291318,94379.18321182972,99632.7361368633,99632.7361368633,15734.337224548184,99632.7361368633,84732.9686500482,0.0
43,46432.08839341127,94069.38024160519,95507.36602199731,95507.36602199731,10284.263723553237,95507.36602199731,94788.62646845027,0.0
44,59879.14258862402,93371.54972838447,101305.84679347312,101305.84679347312,13708.720248498705,101305.84679347312,64858.439420737785,0.0
45,74859.59048689705,80635.59483327037,101622.30600821524,101622.30600821524,13808.681581555493,101622.30600821524,79551.59525162044,0.0
46,64010.22853845915,94224.83079821256,107973.25394097171,107973.25394097171,12539.50101514998,107973.25394097171,82018.63384025265,0.0
47,74564.03770908344,88619.15867172596,100743.02670651929,100743.02670651929,14934.339452303944,100743.02670651929,94698.29269189583,0.0
48,61893.38537896731,90513.38860469642,96591.97999501557,96591.97999501557,10634.420360267584,96591.97999501557,102141.81591072101,0.0
49,60047.15740348354,92566.82281060396,99386.09448610942,99386.09448610942,10778.749152834538,99386.09448610942,80888.89854143704,0.0
50,69158.62366194367,84779.56726101424,102397.269615683,102397.269615683,12233.028140252196,102397.269615683,72420.23340435389,0.0
51,70600.76651120611,78692.36198561356,97337.66060455663,97337.66060455663,13466.855814168039,97337.66060455663,86218.80173068887,0.0
52,58991.406963017536,90743.02100379947,98441.88162504799,98441.88162504799,12669.60987360057,98441.88162504799,82167.31131746939,0.0
53,52516.95381509461,83139.9235467527,105211.5916565828,105211.5916565828,12201.73234677659,105211.5916565828,101078.04070129473,0.0
54,48977.955251881256,76899.17019816702,98557.13037985507,98557.13037985507,11620.185341097107,98557.13037985507,72829.80358146944,0.0
55,70102.97349482034,94034.41408015671,95456.45141850311,95456.45141850311,10209.218013171809,95456.45141850311,87901.89127694372,0.0
56,49591.129618574334,91658.51738830173,95151.75283495475,95151.75283495475,10804.427276132941,95151.75283495475,99339.64509293695,0.0
57,55565.447535665575,91413.50247802812,95846.53719862735,95846.53719862735,11384.315774713908,95846.53719862735,60489.52638583627,0.0
58,60600.55967036219,92251.81072313647,103990.84869680897,103990.84869680897,12628.785183528922,103990.84869680897,80667.54500678444,0.0
59,38383.65345743009,92516.802336483,100510.89952007304,100510.89952007304,11698.92021431295,100510.89952007304,72066.51548482616,0.0
60,65287.05933116489,80904.8188162597,103666.97962982308,103666.97962982308,12243.562113187292,103666.97962982308,85632.31412529286,0.0
61,63943.9240388956,94209.18624476001,94722.23707397364,94722.23707397364,9744.370680297634,94722.23707397364,78662.79598880405,0.0
