Index,Random,Total Amount,Total Amount 2,STD Dev,Assignment,Combined,Genentic,Reference
0,"[13.276150788024328, -0.09166457623646226, -10322]","[12.756673034972817, -0.013012334605666694, -19248]","[13.091580817930478, -0.00867708704975984, -19686]","[13.091580817930478, -0.00867708704975984, -19686]","[14.834847699872086, -0.11306790483365556, -3582]","[13.091580817930478, -0.00867708704975984, -19686]","[12.201781559994703, -0.07158496862264742, -16231]","[13.726484114152152, -0.019210977287024766, -1146]"
1,"[12.818635996323774, -0.0741166377549218, -14424]","[12.977608899644375, -0.013525924276069213, -19454]","[13.46333493812082, -0.015663652553082382, -20646]","[13.46333493812082, -0.015663652553082382, -20646]","[14.418557567648026, -0.11319505940365927, -3463]","[13.46333493812082, -0.015663652553082382, -20646]","[11.930538039941558, -0.0646847512442801, -15854]","[13.726484114152152, -0.019210977287024766, -1146]"
2,"[14.84095438613212, -0.087264200655061, -14255]","[16.42838649332233, -0.017104434274336774, -15994]","[16.63563263290472, -0.013569276104433968, -20566]","[16.63563263290472, -0.013569276104433968, -20566]","[18.490739631173213, -0.11190293391000743, -3599]","[16.63563263290472, -0.013569276104433968, -20566]","[14.261289420401933, -0.09460726202645568, -16830]","[19.138254994754114, -0.026785051362019457, -1146]"
3,"[12.729719693642878, -0.07154610709476261, -16588]","[13.039999668619707, -0.013110269623101469, -19214]","[13.205558353927287, -0.011550545650695652, -20685]","[13.205558353927287, -0.011550545650695652, -20685]","[14.76345271790153, -0.11377917682051927, -3038]","[13.205558353927287, -0.011550545650695652, -20685]","[12.396716505694553, -0.0691089044567194, -20091]","[13.726484114152152, -0.019210977287024766, -1146]"
4,"[15.659436963913313, -0.10152719658534715, -11142]","[16.295405651962813, -0.014812091233250847, -16497]","[16.94702790950283, -0.014830630325164167, -21515]","[16.94702790950283, -0.014830630325164167, -21515]","[18.31931951394911, -0.12071160486391577, -3965]","[16.94702790950283, -0.014830630325164167, -21515]","[16.003344036139033, -0.10337920281239471, -13149]","[19.138254994754114, -0.026785051362019457, -1146]"
5,"[12.350406747293817, -0.07935327968984504, -14070]","[12.929300730479017, -0.012995690826729451, -19175]","[13.272972594233735, -0.009049239528511192, -21608]","[13.272972594233735, -0.009049239528511192, -21608]","[14.761981017123908, -0.1128128602840887, -4304]","[13.272972594233735, -0.009049239528511192, -21608]","[12.64464983681009, -0.07843646236938266, -18424]","[13.726484114152152, -0.019210977287024766, -1146]"
6,"[15.982407608150465, -0.08545658715039316, -12118]","[16.287219977810892, -0.01414639730973677, -16856]","[16.983688119550944, -0.019214597312950433, -20572]","[16.983688119550944, -0.019214597312950433, -20572]","[18.170115663861658, -0.10977312830238421, -3959]","[16.983688119550944, -0.019214597312950433, -20572]","[15.080070892118805, -0.09650531445370149, -20509]","[19.138254994754114, -0.026785051362019457, -1146]"
7,"[12.690408855995525, -0.07921423790933145, -10284]","[13.1999701520485, -0.014264527850063456, -19632]","[13.367595020617772, -0.008505213855872211, -21861]","[13.367595020617772, -0.008505213855872211, -21861]","[15.373677444079274, -0.11453447447843185, -3399]","[13.367595020617772, -0.008505213855872211, -21861]","[13.192379935984883, -0.07822860537711948, -19326]","[13.726484114152152, -0.019210977287024766, -1146]"
8,"[13.00204723144568, -0.09133523699299485, -12393]","[12.793001243529615, -0.012458361750728607, -20238]","[13.06869525007008, -0.009143832873598993, -23782]","[13.06869525007008, -0.009143832873598993, -23782]","[14.825605716698373, -0.11476159092699252, -4319]","[13.06869525007008, -0.009143832873598993, -23782]","[12.426464387684867, -0.07725471246350392, -17758]","[13.726484114152152, -0.019210977287024766, -1146]"
9,"[15.487441868813914, -0.08632081140081051, -11368]","[16.375869345633532, -0.02112761631600336, -16031]","[16.650352380740415, -0.01561451274256157, -20682]","[16.650352380740415, -0.01561451274256157, -20682]","[18.52312902829648, -0.11272688877991249, -3292]","[16.650352380740415, -0.01561451274256157, -20682]","[14.99705289906626, -0.09372143254431692, -18086]","[19.138254994754114, -0.026785051362019457, -1146]"
10,"[12.132038099830261, -0.07301727540717588, -15757]","[13.041748034350851, -0.013617461569803787, -19767]","[13.357132604127003, -0.008622743844088083, -20812]","[13.357132604127003, -0.008622743844088083, -20812]","[15.06902254433652, -0.1138219766526173, -3693]","[13.357132604127003, -0.008622743844088083, -20812]","[12.75923183851004, -0.07715079721103074, -19647]","[13.726484114152152, -0.019210977287024766, -1146]"
11,"[12.297646115772913, -0.09124558204385712, -12699]","[12.951923558101798, -0.012754167158995026, -18794]","[13.449198254949723, -0.0117993161780996, -21149]","[13.449198254949723, -0.0117993161780996, -21149]","[14.828282702008682, -0.11593769279793847, -4374]","[13.449198254949723, -0.0117993161780996, -21149]","[12.10962154897185, -0.08162230214618697, -18741]","[13.726484114152152, -0.019210977287024766, -1146]"
12,"[15.188081241703129, -0.10177933843385008, -15610]","[16.27357169752046, -0.014695246613743879, -16559]","[16.446473222386587, -0.012110646390894325, -23013]","[16.446473222386587, -0.012110646390894325, -23013]","[18.350587331327045, -0.12231287043669851, -3729]","[16.446473222386587, -0.012110646390894325, -23013]","[15.439726179137258, -0.0925458271076631, -18843]","[19.138254994754114, -0.026785051362019457, -1146]"
13,"[14.749691747953246, -0.08263397130832283, -13115]","[15.585834378190308, -0.014121732391765692, -16878]","[16.610037213019286, -0.014564720360719366, -19849]","[16.610037213019286, -0.014564720360719366, -19849]","[17.9293843578902, -0.11021083003951208, -3007]","[16.610037213019286, -0.014564720360719366, -19849]","[14.055812482072502, -0.07003092993935726, -20231]","[19.138254994754114, -0.026785051362019457, -1146]"
14,"[14.660379394294413, -0.08259621969950255, -11932]","[15.98792384976625, -0.014185446602373135, -17129]","[16.718776157778453, -0.013942339255475536, -20813]","[16.718776157778453, -0.013942339255475536, -20813]","[18.37163948207739, -0.11238136282109581, -3513]","[16.718776157778453, -0.013942339255475536, -20813]","[14.630971135411027, -0.08761080710845583, -14697]","[19.138254994754114, -0.026785051362019457, -1146]"
15,"[12.771238331300188, -0.07338968773576368, -12964]","[12.848657236859763, -0.012585973393762443, -19319]","[13.301065899868625, -0.010975563805786822, -19902]","[13.301065899868625, -0.010975563805786822, -19902]","[14.540657019265605, -0.11432949860684592, -3568]","[13.301065899868625, -0.010975563805786822, -19902]","[11.374388930156694, -0.07746581413058552, -18604]","[13.726484114152152, -0.019210977287024766, -1146]"
16,"[16.001631516908375, -0.079073704544127, -9342]","[15.9385481720572, -0.01424135792465236, -16584]","[16.528186773379932, -0.013010292919870213, -21175]","[16.528186773379932, -0.013010292919870213, -21175]","[18.376691993905467, -0.11210879783392735, -3726]","[16.528186773379932, -0.013010292919870213, -21175]","[14.775703932820205, -0.10520355848998122, -18214]","[19.138254994754114, -0.026785051362019457, -1146]"
17,"[15.644070406619393, -0.09641203404043043, -13244]","[16.188297139936257, -0.013997883728859585, -17948]","[16.58857213998436, -0.012834001233186515, -22720]","[16.58857213998436, -0.012834001233186515, -22720]","[18.631125034694385, -0.11530073210981572, -3617]","[16.58857213998436, -0.012834001233186515, -22720]","[15.156642692863798, -0.0944099747738084, -19397]","[19.138254994754114, -0.026785051362019457, -1146]"
18,"[16.240360761675095, -0.10214995834557358, -9771]","[16.277741650237733, -0.01443140570989361, -16710]","[16.669402311554197, -0.012554372035769142, -22233]","[16.669402311554197, -0.012554372035769142, -22233]","[18.360376507688446, -0.11979503320699336, -3534]","[16.669402311554197, -0.012554372035769142, -22233]","[16.00462040541954, -0.09877202918225411, -15607]","[19.138254994754114, -0.026785051362019457, -1146]"
