era,session,block_number,name,stash_address,controller_address,commission_percent,self_stake,total_stake,num_stakers,voters,era_points
165,1031,2465718,Wei,14ShUZUYUR35RBZW6uVVt1zXDxmSQddkeDdXf1JkMA6P721N,16knCdWHWokjeciJuassAub21PHi3YTt94um4DjRJSRtF7sh,1.00,2331305558010386,30622799978313560,127,1831,1260
165,1031,2465718,,1FCu68ZwBHNzZLcGa92eHwvR61hk3MpjrhiqN96xF9vWS1Q,13gAjcC56upxCdaNS69jB7rvGDzimcztTm9Jxhfgma8w9jor,100.00,99360406100,37263464975913580,2,27,1300
165,1031,2465718,Zug Cap / 19,1zugcag7cJVBtVRnFxv5Qftn7xKAnR6YJ9x4x3XLgGgmNnS,13eeBGJPSPQjXGfBmd2rsek8gKU1ivz7eZReiVRwwES1QzuX,0.70,100000000000,30549484370550930,106,1203,1260
165,1031,2465718,Polkadot.pro - Realgar,1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih,1ZMbuCR3QiatxRsQdNnJYgydn3CWV4PELcTzpH4TNoNjxno,1.00,5342981819844241,34321621635570840,128,1329,1120
165,1031,2465718,Able Wanderer / 🐁 Mouse-6,135wKSGZpQcTrhmFju9VeKC68gMBMsCYpSNtDyoqj3BVSZ1R,135wKSGZpQcTrhmFju9VeKC68gMBMsCYpSNtDyoqj3BVSZ1R,100.00,10000000000,26135922035705640,4,9,1180
165,1031,2465718,,14dqJWMDRpM1Q3MibmYjFKYKVZpfqUdRaDtKyxLS5DBGumZy,14dqJWMDRpM1Q3MibmYjFKYKVZpfqUdRaDtKyxLS5DBGumZy,100.00,10000000000,26498796907759213,1,4,1540
165,1031,2465718,Ryabina /  2,14xKzzU1ZYDnzFj7FgdtDAYSMJNARjDc2gNw4XAFDgr4uXgp,138XcczGTenuuGPR9q3YcLCrxh3xMzCpvE6vA7nTr6H6LvuY,2.00,4423101721494,32314026036393440,46,1071,1280
165,1031,2465718,,1qFBkRovtyKwWznGdQrA2qvmpndhM513TPoWf6f4oTVReLs,14oajNRwAwUXRta856MHVtKnM9n3c5SYNLvTBFFtbntpNTtd,20.00,222063659799539,25686631225460861,10,34,920
165,1031,2465718,,16NCSbjNt8PnpccX3UDAzJTAEuDLScZTLvJFZ5U68hrowQx6,14F6pY4NazcTjcDLtomDzWyY5tJaKyv7crhrM8oa599ZBBiK,100.00,99360406100,37252584834478687,4,20,1320
165,1031,2465718,Zug Cap / 18,1zugcacYFxX3HveFpJVUShjfb3KyaomfVqMTFoxYuUWCdD8,147Vm38FWnBVq4NreDaf1bGgQYbx9mmJy6ikDkhkqF1PwRuT,0.70,100000000000,30549559762020902,125,1130,1160
165,1031,2465718,Hypersphere / Hypersphere-8,15K979wvzHuepoL6XXgqdVRNhj7EgLLGvfVnKobzHmxrrwDR,15K979wvzHuepoL6XXgqdVRNhj7EgLLGvfVnKobzHmxrrwDR,7.00,10000000000,29211191578447015,107,226,1100
165,1031,2465718,General-Beck / Laniakea,15MUBwP6dyVw5CXF9PjSSv7SdXQuDSwjX86v1kBodCSWVR7c,15FetbcSf55WhDyaj8uvo7oWjSxFDaSZMHsCTe8Usddq9AjG,3.00,0,32094992964144047,42,793,1080
165,1031,2465718,,12woCF72ik4rYzm8gUagTkEBw4S1zE4rRnAk7SaiHbbV9tDy,12woCF72ik4rYzm8gUagTkEBw4S1zE4rRnAk7SaiHbbV9tDy,100.00,100001378735,26594820706129803,4,76,1180
165,1031,2465718,Zug Cap / 12,1zugcavYA9yCuYwiEYeMHNJm9gXznYjNfXQjZsZukF1Mpow,169PJruXwgE8UjBYj97rxQiE9FtYVPo12n6UshfkvT8r8UBg,0.70,100000000000,30511361493412035,169,1074,1300
165,1031,2465718,Staked / 2,14dTZLAwhcBennygERRS5tXnWVAHq3e12LoCoHrQsmDd4X4H,152zK2DwaUzqq7aaR1vnMELDUFuYifhsXdDvaS48DGMa7C6U,10.00,10005430700,30559290981867189,37,167,860
165,1031,2465718,,16VW8qAsdpQkGj3VeennjAYfRfL9kSQed2bLyiFWT7JHwkMh,158nm75dyvuge5qfFihFL919csUVjJrDugQHvuckZQVfSPjg,100.00,99360406100,37260820201385729,1,23,1100
165,1031,2465718,,12n6PpScSThLK3WLj7wv64ancFWfg6PxGoAsh8scKS5eqsap,13a6CiUA7u9nd65vr6FCTHgMYrsqtWPfubM8v33w2UB3JYSj,100.00,99360406100,24862104791008862,3,2,1280
